Japanese,English
何,what
あ,a
あなた,you
言 ,Word
行,line
人,Man
知,Knowledge
事,case
彼女,she
お前,you
話 ,Talk 
来,Coming
分か,Division
者,person
聞 ,Hearing
死 ,death 
時 ,Time 
ああ,Ah
殺 ,Killing
前 ,Previous 
中,During ~
達,Gain
必要,necessary
あの,that
気,air
大丈夫,Alright
自分,myself
持 ,Possession
本当 ,For real 
時間,time
我々,we
一,one
的,Talent
無,Nothing
ありがとう,Thank you
家,House
会,Meeting
日,Day
年,Year
仕事,jobs
手,hand
一緒,together
後,rear
出来,Confidentiality
他,other
入,On
電話,phone
目,eye
様,Mr
分,Minute
車,car
所,Place
あんた,Aunt
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Belief
さあ,here we go
少し,a bit
使,Use
全て,all
世界,world
教え,lesson
通り,Street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,Stuff
女,woman
呼,Call
生き,Life
あれ,that
じゃあ,Surely
止め,Stop
心配,anxiety
母,mother
連れ,Take advantage of
関係,relationship
外,Outside
家族,family
起き,Wake up
意味,meaning
神,God
警察 ,Police
力,Power
最後,last
作,Work
次,Next
